Country Name,Country Code,Indicator Name,2013,2014,2015,2016
Upper middle income,UMC,"Life expectancy at birth, total (years)",74.71816553,74.92436697,75.11854968,
Uruguay,URY,"Life expectancy at birth, total (years)",76.83465854,76.98209756,77.13163415,
United States,USA,"Life expectancy at birth, total (years)",78.74146341,78.74146341,78.74146341,
Uzbekistan,UZB,"Life expectancy at birth, total (years)",70.80068293,70.99339024,71.14568293,
St. Vincent and the Grenadines,VCT,"Life expectancy at birth, total (years)",72.80658537,72.9395122,73.06495122,
"Venezuela, RB",VEN,"Life expectancy at birth, total (years)",74.07041463,74.22614634,74.3915122,
Virgin Islands (U.S.),VIR,"Life expectancy at birth, total (years)",79.62439024,79.77317073,79.87317073,
Vietnam,VNM,"Life expectancy at birth, total (years)",75.50534146,75.69529268,75.89119512,
Vanuatu,VUT,"Life expectancy at birth, total (years)",71.54917073,71.772,71.98490244,
World,WLD,"Life expectancy at birth, total (years)",71.46206472,71.69170194,71.88880421,
Samoa,WSM,"Life expectancy at birth, total (years)",74.2905122,74.58007317,74.83870732,
Kosovo,XKX,"Life expectancy at birth, total (years)",70.79756098,71.09756098,71.34634146,
"Yemen, Rep.",YEM,"Life expectancy at birth, total (years)",64.27707317,64.50717073,64.72568293,
South Africa,ZAF,"Life expectancy at birth, total (years)",59.80007317,60.95478049,61.93409756,
Zambia,ZMB,"Life expectancy at birth, total (years)",59.92019512,60.71534146,61.33958537,
Zimbabwe,ZWE,"Life expectancy at birth, total (years)",57.9405122,59.24431707,60.27934146,
